ECO_ID,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,ECO_BIOME_,NNH,NNH_NAME
117,Adelie Land tundra,11,Tundra,Antarctica,AN11,1,Half Protected
135,Admiralty Islands lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,AU01,2,Nature Could Reach Half Protected
785,Aegean and Western Turkey sclerophyllous and mixed forests,12,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12,4,Nature Imperiled
807,Afghan Mountains semi-desert,13,Deserts & Xeric Shrublands,Palearctic,PA13,4,Nature Imperiled
404,Ahklun and Kilbuck Upland Tundra,11,Tundra,Nearctic,NE11,1,Half Protected
722,Al-Hajar foothill xeric woodlands and shrublands,8,"Temperate Grasslands, Savannas & Shrublands",Palearctic,PA08,3,Nature Could Recover
723,Al-Hajar montane woodlands and shrublands,8,"Temperate Grasslands, Savannas & Shrublands",Palearctic,PA08,3,Nature Could Recover
721,Alai-Western Tian Shan steppe,8,"Temperate Grasslands, Savannas & Shrublands",Palearctic,PA08,4,Nature Imperiled
808,Alashan Plateau semi-desert,13,Deserts & Xeric Shrublands,Palearctic,PA13,2,Nature Could Reach Half Protected
405,Alaska-St. Elias Range tundra,11,Tundra,Nearctic,NE11,2,Nature Could Reach Half Protected
369,Alaska Peninsula montane taiga,6,Boreal Forests/Taiga,Nearctic,NE06,1,Half Protected
88,Albany thickets,12,"Mediterranean Forests, Woodlands & Scrub",Afrotropic,AF12,3,Nature Could Recover
345,Alberta-British Columbia foothills forests,5,Temperate Conifer Forests,Nearctic,NE05,2,Nature Could Reach Half Protected
1,Albertine Rift montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,AF01,4,Nature Imperiled
91,Aldabra Island xeric scrub,13,Deserts & Xeric Shrublands,Afrotropic,AF13,1,Half Protected
406,Aleutian Islands tundra,11,Tundra,Nearctic,NE11,1,Half Protected
328,Allegheny Highlands forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,Nature Could Reach Half Protected
689,Alps conifer and mixed forests,5,Temperate Conifer Forests,Palearctic,PA05,2,Nature Could Reach Half Protected
749,Altai alpine meadow and tundra,10,Montane Grasslands & Shrublands,Palearctic,PA10,2,Nature Could Reach Half Protected
690,Altai montane forest and forest steppe,5,Temperate Conifer Forests,Palearctic,PA05,3,Nature Could Recover
724,Altai steppe and semi-desert,8,"Temperate Grasslands, Savannas & Shrublands",Palearctic,PA08,3,Nature Could Recover
439,Alto Paraná Atlantic forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,NO01,4,Nature Imperiled
611,Amazon-Orinoco-Southern Caribbean mangroves,14,Mangroves,Neotropic,NO14,1,Half Protected
67,Amsterdam-Saint Paul Islands temperate grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Afrotropic,AF08,4,Nature Imperiled
741,Amur meadow steppe,9,Flooded Grasslands & Savannas,Palearctic,PA09,3,Nature Could Recover
786,Anatolian conifer and deciduous mixed forests,12,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12,4,Nature Imperiled
218,Andaman Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,2,Nature Could Reach Half Protected
77,Angolan montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,AF10,4,Nature Imperiled
34,Angolan mopane woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,2,Nature Could Reach Half Protected
35,Angolan scarp savanna and woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,4,Nature Imperiled
36,Angolan wet miombo woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,4,Nature Imperiled
196,Antipodes Subantarctic Islands tundra,11,Tundra,Australasia,AU11,4,Nature Imperiled
331,Appalachian-Blue Ridge forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,Nature Could Reach Half Protected
329,Appalachian mixed mesophytic forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,Nature Could Reach Half Protected
330,Appalachian Piedmont forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,3,Nature Could Recover
644,Appenine deciduous montane forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,2,Nature Could Reach Half Protected
520,Apure-Villavicencio dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,NO02,3,Nature Could Recover
810,Arabian sand desert,13,Deserts & Xeric Shrublands,Palearctic,PA13,2,Nature Could Reach Half Protected
440,Araucaria moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,NO01,3,Nature Could Recover
597,Araya and Paria xeric scrub,13,Deserts & Xeric Shrublands,Neotropic,NO13,4,Nature Imperiled
407,Arctic coastal tundra,11,Tundra,Nearctic,NE11,2,Nature Could Reach Half Protected
778,Russian Arctic desert,11,Tundra,Palearctic,PA11,2,Nature Could Reach Half Protected
408,Arctic foothills tundra,11,Tundra,Nearctic,NE11,2,Nature Could Reach Half Protected
346,Arizona Mountains forests,5,Temperate Conifer Forests,Nearctic,NE05,4,Nature Imperiled
181,Arnhem Land tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,AU07,2,Nature Could Reach Half Protected
37,Ascension scrub and grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,4,Nature Imperiled
598,Atacama desert,13,Deserts & Xeric Shrublands,Neotropic,NO13,2,Nature Could Reach Half Protected
441,Atlantic Coast restingas,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,NO01,3,Nature Could Recover
839,Saharan Atlantic coastal desert,13,Deserts & Xeric Shrublands,Palearctic,PA13,2,Nature Could Reach Half Protected
347,Atlantic coastal pine barrens,5,Temperate Conifer Forests,Nearctic,NE05,3,Nature Could Recover
5,Congolian coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,AF01,2,Nature Could Reach Half Protected
664,European Atlantic mixed forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,Nature Could Recover
193,Australian Alps montane grasslands,10,Montane Grasslands & Shrublands,Australasia,AU10,1,Half Protected
812,Azerbaijan shrub desert and steppe,13,Deserts & Xeric Shrublands,Palearctic,PA13,4,Nature Imperiled
645,Azores temperate mixed forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,4,Nature Imperiled
813,Badghyz and Karabil semi-desert,13,Deserts & Xeric Shrublands,Palearctic,PA13,4,Nature Imperiled
612,Bahamian-Antillean mangroves,14,Mangroves,Neotropic,NO14,2,Nature Could Reach Half Protected
442,Bahia coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,NO01,3,Nature Could Recover
443,Bahia interior forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,NO01,3,Nature Could Recover
426,Baja California desert,13,Deserts & Xeric Shrublands,Nearctic,NE13,1,Half Protected
521,Bajío dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,NO02,4,Nature Imperiled
646,Balkan mixed forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,Nature Could Recover
522,Balsas dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,NO02,4,Nature Imperiled
647,Baltic mixed forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,Nature Could Recover
814,Baluchistan xeric woodlands,13,Deserts & Xeric Shrublands,Palearctic,PA13,4,Nature Imperiled
