"ID","hadgem_prec_rcp26_2050","hadgem_prec_rcp85_2050","hadgem_temp_rcp26_2050","hadgem_temp_rcp85_2050","mpiesm_prec_rcp26_2050","mpiesm_prec_rcp85_2050","mpiesm_temp_rcp26_2050","mpiesm_temp_rcp85_2050","noresm_prec_rcp26_2050","noresm_prec_rcp85_2050","noresm_temp_rcp26_2050","noresm_temp_rcp85_2050","N","vocc_temp_rcp26","vocc_temp_rcp85","vocc_prec_rcp26","vocc_prec_rcp85","vocc_rcp85","avg_integrity","a_sum_high_int","intactness","luse_bin"
1,82,97,41,311,62,116,11,122,47,85,53,114,455,0.0633100622438956,0.35809393078014,0.136381795356117,0.216540010288925,0.35809393078014,9.63485513159277,362,0.795604395604396,0.333402882881856
2,658,786,509,2883,1135,930,860,1787,576,552,223,986,5755,0.080007070891533,0.298701022074763,0.131170473084434,0.12840133213827,0.298701022074763,3.11398617033889,601,0.104430929626412,4.94878800848557
3,329,412,208,1387,316,377,268,1039,210,364,0,957,1472,0.0259512471044138,0.756182876694313,0.189871427307757,0.260738706455583,0.756182876694313,6.14983051628525,177,0.120244565217391,8.49303935728765
4,2998,1822,4942,13869,7214,3288,11266,12104,2901,2046,1399,10259,16612,0.257083859815577,0.721557771438512,0.239201138651518,0.138794848717915,0.721557771438512,7.69118214805125,6957,0.41879364314953,12.7833715279404
5,19,18,0,10,0,0,0,0,0,0,0,10,71,0.0140845070422535,0.0653744906142645,0.0375831218129851,0.0369118506226605,0.0653744906142645,6.72982758326185,1,0.0140845070422535,0.0706985498398135
6,1056,1132,1248,5929,1152,1117,1894,4417,1008,453,532,4043,7508,0.14376211944143,0.630105494060732,0.14256121208891,0.110613551537648,0.630105494060732,7.64543034077469,2174,0.289557805007991,1.33890401158252
7,0,229,116,664,101,0,113,552,0,6,0,552,729,0.0323433213623331,0.805294160669153,0.00638821606008757,0.0152499369898877,0.805294160669153,3.01359958359067,0,0,3.08625884276529
8,24,147,280,918,37,0,384,696,80,0,0,587,2048,0.023218445127981,0.352127590553436,0.0202226329189142,0.00257696879292191,0.352127590553436,6.74231918913251,429,0.20947265625,11.8032208020031
9,949,681,18,536,798,727,44,276,181,238,0,143,1942,0.00476422760986894,0.142414456731179,0.265501309420217,0.252447031191348,0.252447031191348,1.82071800676619,160,0.082389289392379,5.56492546737597
10,77,201,8,274,80,165,14,191,177,62,34,89,443,0.0352502271863644,0.376982264908815,0.232334800881935,0.287047325086787,0.376982264908815,4.35867963082648,22,0.0496613995485327,13.4103950037963
11,476,503,1185,3065,841,716,2502,2784,622,250,450,2222,3683,0.29890809104377,0.724012730560678,0.170816332135442,0.121694780908163,0.724012730560678,6.62735751808262,979,0.265815910942167,13.4866914426047
12,888,1989,1158,5618,508,1590,2358,4526,519,614,21,5458,7425,0.0519350746626417,0.697290070141877,0.083007669451411,0.168023606214939,0.697290070141877,2.18136249758866,15,0.00202020202020202,6.92190864027967
13,799,1011,168,1413,1265,553,261,695,259,247,14,713,2653,0.0320348005891681,0.334709661650447,0.241124740347332,0.194829102571613,0.334709661650447,5.248242852848,390,0.147003392385978,9.90004854273087
15,116,301,86,616,124,257,97,306,287,261,0,377,1169,0.0173490440882284,0.354323522740094,0.137226929474522,0.232933631544221,0.354323522740094,3.28797705072395,6,0.00513259195893926,3.12267292117418
16,61,80,5,80,50,50,80,80,80,77,2,80,80,0.116039720840319,1,0.78109997119078,0.844164177086728,1,2.42256396980092,0,0,0.241955709674495
17,83,301,0,89,199,166,45,129,104,232,0,86,398,0.00893691785047754,0.250193669798402,0.300911254055763,0.568640494900111,0.568640494900111,2.02836509763315,1,0.00251256281407035,1.30910186912792
18,602,2026,1,620,498,1388,82,352,1001,2268,24,411,4435,0.00282562640633969,0.100932671285621,0.150959232681488,0.418148325167059,0.418148325167059,1.84789675409112,91,0.0205186020293123,1.41169444797285
19,662,841,7,1276,329,644,141,601,518,1069,61,276,2749,0.0142574193213691,0.216788714257478,0.175773395600905,0.303187842757373,0.303187842757373,5.29048135137542,249,0.0905783921425973,1.2340941523506
20,182,85,0,233,77,209,21,373,205,76,1,158,925,0.00298262073122283,0.258880226868313,0.153684567288762,0.119486232761365,0.258880226868313,4.95281005082777,35,0.0378378378378378,0.907546252040043
21,102,76,0,54,4,38,44,54,38,82,0,54,157,0.0224862951294654,0.343949044585987,0.158823562829479,0.394067568950584,0.394067568950584,4.93065495473306,0,0,10.2875524290553
22,0,0,0,4,0,0,0,0,3,5,0,0,46,0.0217391304347826,0.0345087185210478,0.0313532515284219,0.0371733901451456,0.0371733901451456,7.04451979245742,3,0.0652173913043478,4.44628420051025
23,0,130,63,491,0,0,48,366,0,0,0,253,572,0.0252812125612786,0.623971859819935,0.00174825174825175,0.00885628849493162,0.623971859819935,5.88383410721959,63,0.11013986013986,9.64182018364108
24,141,184,388,2377,172,1230,449,1871,1009,102,0,1576,2627,0.0212601316459695,0.728494573918146,0.110514560901967,0.108387940091706,0.728494573918146,3.5087281960872,69,0.0262657023220404,4.77605933141848
25,2917,1483,5328,15709,2628,1857,8092,11923,3393,2716,1556,7644,20627,0.196988327267307,0.546406074407574,0.14364124079322,0.0948108859634611,0.546406074407574,6.41838140280269,8868,0.429921946962719,5.54188065267515
26,351,499,499,2227,318,756,649,1676,1176,434,699,1449,2792,0.218285753429846,0.628693241459492,0.182025306964908,0.195939476291066,0.628693241459492,4.50779676913842,154,0.0551575931232092,7.64874439120665
27,1613,2281,3863,15267,1295,1919,6843,12326,2853,1091,849,9217,17406,0.162054340192792,0.690276104653427,0.104160484171164,0.096748154843311,0.690276104653427,8.48468287343703,7880,0.45271745375158,2.89304690782366
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.39008818028834,0,0,0.33863375737117
29,519,1253,769,4218,693,781,1238,2649,1094,914,1333,2634,5482,0.197493745686384,0.563199685441762,0.133669895013208,0.175756098072832,0.563199685441762,4.3144650768099,287,0.0523531557825611,1.49986707747604
30,902,565,1406,5061,374,481,3342,4439,999,139,852,2969,5162,0.307604336326366,0.78564417181175,0.134812411014267,0.0650007111213687,0.78564417181175,8.08637798326133,2826,0.547462223944208,2.94881137615407
31,673,1929,892,4646,787,1535,1002,2944,801,374,224,3845,8164,0.0716567657133806,0.458917679627296,0.0920388340074263,0.126726587554151,0.458917679627296,2.02944120914878,493,0.0603870651641352,8.25891744235113
32,0,0,1,1,0,0,1,1,0,0,1,1,4,0.25,0.25,0.25,0.25,0.25,5.07856917946846,0,0,0.0369231770746413
33,48,601,66,1631,61,52,624,896,317,1589,10,1293,3463,0.0214844224583639,0.356999554079674,0.028168104288827,0.106140569307944,0.356999554079674,6.24506587644041,350,0.101068437770719,0.118613262163378
34,35,782,27,843,259,264,90,464,235,298,14,298,1258,0.0257571295291405,0.388305282428476,0.102281694835557,0.313806311048552,0.388305282428476,8.7197554784911,680,0.540540540540541,0.0465119633826609
35,120,140,38,148,126,147,32,53,98,148,13,65,235,0.106796686934658,0.339950578800315,0.485129957008452,0.616833330905433,0.616833330905433,6.5048584256686,8,0.0340425531914894,1.53320777661931
36,2310,1375,524,3207,513,758,659,1654,1010,694,204,1730,4856,0.0850492088932597,0.431136552540905,0.21864433439081,0.184855246045369,0.431136552540905,7.31212292742708,1251,0.257619439868204,1.35963972356768
37,4656,2712,2588,10525,4420,2734,629,3857,3239,2796,0,3420,15999,0.00735267665113884,0.323648136966049,0.253428755700944,0.171704739278891,0.323648136966049,6.7894896387511,5542,0.346396649790612,2.03377009714518
39,55,119,4,22,54,108,17,39,60,72,8,34,337,0.0242234724149397,0.0913465537803334,0.166983156264116,0.289159747538836,0.289159747538836,7.31779363474755,60,0.178041543026706,0.193659411620477
40,5131,7049,2823,20207,6486,6540,3414,12045,3991,6331,383,7109,38054,0.0406122834946389,0.315480174833591,0.134076680300835,0.174311300719687,0.315480174833591,6.60542590436895,8970,0.235717664371682,2.12657232400641
41,167,201,25,172,179,159,77,245,103,246,40,190,1179,0.0360841464386345,0.169681921019447,0.12339240732496,0.16865360335947,0.169681921019447,4.05604109413428,15,0.0127226463104326,1.46593419966752
42,95,99,29,494,198,113,152,663,51,492,39,455,1289,0.0431369213836096,0.411305364585849,0.0765126786471199,0.136974585934088,0.411305364585849,3.55293336305021,32,0.0248254460822343,1.03502498298662
43,5148,10973,2022,12766,4975,7676,2437,7364,6723,5939,1237,4596,33538,0.0544667714488327,0.225413048734541,0.165880149384322,0.236694080333239,0.236694080333239,6.23667334938192,9880,0.294591209970779,4.78851183969203
44,2591,4026,4818,14167,7213,1566,6152,11093,1191,2071,191,11049,22145,0.0804815771881079,0.542759718899684,0.127025043097736,0.106334173003854,0.542759718899684,7.8316463284002,11905,0.537593136148115,4.64162837937214
45,1637,2803,1390,7452,1043,3060,2054,5024,1986,1070,235,4508,15280,0.0572933671139934,0.36166968441323,0.0983212496547668,0.137020667774434,0.36166968441323,4.47686963208984,650,0.0425392670157068,5.94327756972478
47,32,175,0,155,36,157,0,72,71,43,0,26,341,0.00293255131964809,0.194144370412414,0.127296334097213,0.310013785760965,0.310013785760965,5.72878046639806,27,0.0791788856304985,11.5823717484211
49,151,235,134,536,343,242,377,610,462,299,158,515,1679,0.119028341511029,0.328889434260573,0.171627542844127,0.153156033185828,0.328889434260573,4.51363933960396,87,0.0518165574746873,0.675628077480713
51,11,11,10,13,0,2,10,10,0,0,0,10,13,0.357045294893291,0.839532986970081,0.171075391582255,0.215541486973491,0.839532986970081,8.20948022611211,3,0.230769230769231,10.4799294200269
52,171,104,95,275,86,131,121,213,288,121,132,206,869,0.132233408458521,0.263940921992399,0.186184092962641,0.135938839681561,0.263940921992399,5.06136612833415,108,0.124280782508631,4.82216147335596
53,2003,916,7491,19303,4003,1387,9794,14824,1744,1380,1407,12558,27359,0.171460641915226,0.559847847121891,0.0880583994068716,0.0440741001615277,0.559847847121891,8.35425217746061,12947,0.473226360612595,2.67475869449415
54,1,2,12,25,34,1,12,13,1,0,0,13,37,0.141661696984265,0.436925287183285,0.0875570757102023,0.034051920267429,0.436925287183285,8.76976114255451,28,0.756756756756757,0.967747183221172
56,505,261,17,400,191,207,36,173,108,120,13,151,647,0.0308551250462963,0.337901458684071,0.337555524098915,0.288199408817633,0.337901458684071,6.40956458172888,64,0.0989180834621329,8.56677965408776
58,212,649,36,770,222,608,55,474,310,249,28,344,1811,0.0210550344763154,0.276497188407935,0.134926853513685,0.254798826847199,0.276497188407935,4.24138017758744,111,0.0612921038100497,12.6153544141684
59,2231,2227,5708,18516,5304,3096,8105,11251,7268,1265,2883,9670,22568,0.226395332458835,0.559622521312033,0.195589826581307,0.0912103575880867,0.559622521312033,5.99011674543862,3423,0.151674937965261,1.44383592380493
62,777,53,1489,3921,1120,592,1885,3075,152,167,608,2343,5589,0.213813817477922,0.544925720869832,0.091164712531891,0.0310768677444213,0.544925720869832,2.51033409505727,179,0.032027196278404,3.23388665662155
63,390,845,305,2191,328,541,424,1040,628,144,30,1776,3822,0.0411122867842999,0.416948302492957,0.1128951665931,0.105644803420508,0.416948302492957,5.61891024398233,340,0.0889586603872318,9.52892073117141
64,2321,2213,2205,11112,1920,2375,3430,7454,1437,1153,696,6196,14681,0.118489994455357,0.545350067735004,0.126489771227229,0.124184999451112,0.545350067735004,6.9010922625246,2983,0.20318779374702,0.294573830480865
65,203,366,301,1071,471,442,270,690,257,370,111,286,1992,0.104502916752667,0.29902823502595,0.145946613443019,0.196371756821832,0.29902823502595,7.47520872769886,363,0.182228915662651,0.0686345261337531
66,414,716,167,1013,766,649,312,794,813,460,116,625,3451,0.052783484751962,0.230404891936944,0.184428595735775,0.173258104050121,0.230404891936944,7.83036973727656,1103,0.319617502173283,0.355351032591016
67,593,577,155,841,1427,1160,306,788,683,368,25,266,3033,0.0348973112911875,0.184868197304454,0.274638053951587,0.206675087440208,0.206675087440208,5.71683863168213,235,0.0774810418727333,0.213282980953633
70,3,5,0,9,1,6,1,9,8,3,1,7,9,0.111111111111111,0.919641392127041,0.320499904512757,0.497933860728574,0.919641392127041,4.0249250322624,2,0.222222222222222,11.6461183275614
75,266,599,862,1839,1317,134,1467,1544,79,297,0,1139,2069,0.052265924394185,0.714754819513254,0.146196736109482,0.139102691323129,0.714754819513254,9.2555415997674,1210,0.584823586273562,0.926978211128469
76,98,21,166,552,3,6,157,474,35,205,0,74,748,0.03963701876581,0.358989253942729,0.0290783790664131,0.0395190537770369,0.358989253942729,7.74464002155831,255,0.340909090909091,0.0406218141392198
77,125,358,572,1774,370,238,372,1162,387,342,148,835,2646,0.119346692618001,0.452924242327723,0.0988593447335619,0.1162979849836,0.452924242327723,7.69610305972391,1081,0.40854119425548,3.66925645727528
78,75,31,53,383,130,189,20,158,27,75,0,176,563,0.0181103520856522,0.390793904774743,0.113836376954651,0.135037127867732,0.390793904774743,4.70426668748085,8,0.0142095914742451,9.23887076712218
79,41,30,0,12,53,37,0,3,19,8,0,3,98,0.0102040816326531,0.0485939097541285,0.352677997923742,0.21130587866294,0.21130587866294,7.44218072173028,33,0.336734693877551,7.66219084794046
80,679,493,90,596,292,391,95,341,55,285,16,345,1371,0.0375829827236353,0.30077088230624,0.161746285894709,0.277280114115004,0.30077088230624,2.40480571531188,1,0.000729394602479942,5.93944233738113
81,122,52,0,92,31,51,0,55,15,42,0,53,161,0.0062111801242236,0.400543405645191,0.23865931246044,0.298846651481349,0.400543405645191,3.71041408809811,0,0,5.30306513991731
82,135,385,27,646,272,371,244,675,319,196,116,541,900,0.101584633279782,0.686544474020608,0.252341458613021,0.337381341482083,0.686544474020608,1.85158991691459,25,0.0277777777777778,0.488658202949456
83,11,15,1,10,14,10,3,5,6,2,0,8,32,0.0450702990721065,0.230251968665024,0.30437385541806,0.209197796900678,0.230251968665024,7.39328470212605,1,0.03125,1.36296671308014
84,3,21,0,32,5,17,3,26,21,37,0,20,44,0.0327783993251684,0.580227663532719,0.154638457180758,0.537242840841814,0.580227663532719,5.72992344118389,8,0.181818181818182,1.79315216644273
85,6,6,27,40,15,19,35,39,35,3,3,36,40,0.35382704852374,0.957375644828986,0.366474302219559,0.174829766429522,0.957375644828986,2.38763995994441,0,0,2.04499277754803
86,82,129,19,60,0,124,14,50,16,58,0,28,248,0.0259323693200791,0.176593513705157,0.0441427715709551,0.393273589566167,0.393273589566167,3.99707425647906,0,0,0.203601387661952
87,8,7,2,20,17,4,4,8,0,4,1,4,20,0.1,0.430886938006377,0.257128159065823,0.241014226417523,0.430886938006377,7.39833394618558,0,0,10.0487982925028
88,105,448,0,394,152,355,6,209,100,205,0,18,705,0.00257747601820162,0.161727008738235,0.165763348843775,0.453138496183467,0.453138496183467,3.65113208942849,11,0.0156028368794326,9.77698487280024
89,103,136,23,505,211,54,226,561,109,59,19,559,626,0.0738395359768734,0.864266505948109,0.212948405611931,0.120879844707929,0.864266505948109,6.69421437107271,36,0.0575079872204473,0.444568160656663
90,202,193,18,331,67,86,225,497,190,28,95,808,937,0.0776223199440749,0.544660219661673,0.146213340736639,0.0826669040050499,0.544660219661673,3.43559307090954,31,0.0330843116328709,0.255465855795644
91,33,29,0,37,1,9,19,57,24,0,11,115,170,0.0349086596494114,0.366839324717321,0.0544242942256793,0.0375922148729371,0.366839324717321,2.81697762900449,1,0.00588235294117647,0.251527301967483
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,NA,0
93,16,7,0,3,5,13,0,3,11,13,0,2,27,0.037037037037037,0.097064496081811,0.354919989412058,0.391709842356034,0.391709842356034,3.64589083130547,0,0,5.84125645173265
98,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1.343,0,0,0.0742885065265
100,120,173,107,277,88,182,32,236,233,80,77,223,495,0.129539722227302,0.493507411651321,0.272731152346745,0.274872078906437,0.493507411651321,3.92798760685896,13,0.0262626262626263,0.448109210204144
101,485,453,112,684,228,196,268,285,511,416,0,703,1228,0.0253076938490961,0.419843140636063,0.312488564104191,0.271196554661037,0.419843140636063,4.67089061228494,64,0.0521172638436482,0.0704894810698814
102,16,18,0,1,19,2,1,8,19,16,0,7,19,0.0526315789473684,0.201361177133936,0.944326391417367,0.437912383800401,0.437912383800401,6.32081447379017,3,0.157894736842105,0.0686997785854888
105,35,30,7,57,42,61,17,24,58,30,0,31,128,0.0384272244879588,0.272441101453158,0.343852199295614,0.296925487719931,0.296925487719931,8.00679284546253,29,0.2265625,1.00481528568335
107,3,16,0,0,16,16,0,0,3,3,0,0,16,0.0625,0.0625,0.327592674276112,0.572357121276666,0.572357121276666,8.21140268071843,6,0.375,0.00657706821220927
111,3,1,0,2,0,2,2,2,3,0,0,7,7,0.179988721413553,0.433798424553666,0.297154831864558,0.179988721413553,0.433798424553666,4.68696683511296,0,0,0.179240757087817
112,0,4,105,718,0,28,184,614,17,23,51,664,973,0.102269529778125,0.682402786137475,0.0026426326728245,0.014088641319286,0.682402786137475,7.8418937584915,437,0.44912641315519,5.25697867906145
113,7,6,10,54,1,9,19,19,24,4,12,23,65,0.202487518930504,0.441277423683166,0.0848899746578806,0.0923076923076923,0.441277423683166,6.36111093961868,7,0.107692307692308,4.03901592789491
114,11,13,316,558,25,21,275,640,23,144,40,217,762,0.1987947684869,0.559503744728504,0.0242697445536616,0.0446224496700556,0.559503744728504,3.10800382544459,15,0.0196850393700787,1.4242427909398
115,8,1,21,138,0,3,121,126,74,93,6,147,156,0.158950063880724,0.876457894243943,0.053824826330877,0.0418867633146639,0.876457894243943,5.19682530425911,1,0.00641025641025641,0.196095314738247
117,0,34,0,23,28,12,9,23,7,24,0,23,34,0.0611789359721148,0.676470588235294,0.170846639222462,0.629233087204631,0.676470588235294,2.7783505395547,0,0,0.725913894955417
136,0,14,5,57,0,0,0,57,28,0,10,45,69,0.0533917608498607,0.763492867573594,0.044008535824285,0.0349295980315251,0.763492867573594,8.5567677827243,14,0.202898550724638,0.0286263700277693
137,0,0,0,114,0,5,10,29,43,5,16,105,214,0.0253683889401393,0.328410430990857,0.0163710189737697,0.0136636342907143,0.328410430990857,6.61324367665692,28,0.130841121495327,0.0366420176152534
138,0,0,0,0,0,0,0,0,55,61,0,0,95,0.0105263157894737,0.0105263157894737,0.0400310785343304,0.0414368124537071,0.0414368124537071,7.08056428923028,11,0.115789473684211,0.00572334865732207
139,0,14,0,0,12,0,0,0,99,46,0,0,329,0.00303951367781155,0.00303951367781155,0.0321916261579884,0.0262481918191447,0.0262481918191447,7.21552034046287,21,0.0638297872340425,0.0222349635619208
140,168,1041,63,1097,1866,1249,68,804,4096,1199,221,520,6901,0.0142288090503747,0.111748914340362,0.157500376258365,0.168021718743761,0.168021718743761,9.09037203339424,3597,0.521228807419215,0.0307006841624587
141,0,75,0,224,11,37,0,108,346,105,0,32,961,0.00104058272632674,0.0955470309813472,0.0162467391231966,0.0689859592981357,0.0955470309813472,6.64980700751243,142,0.147762747138398,0.0474879273372634
142,21,278,0,66,110,177,0,14,306,74,0,32,659,0.00151745068285281,0.0469233022914472,0.135173757887269,0.233452132860044,0.233452132860044,8.7056681751917,216,0.327769347496206,0.0242621657152006
144,0,13,22,22,0,8,5,22,0,0,22,22,46,0.291864062808112,0.478260869565217,0.0217391304347826,0.102231942944381,0.478260869565217,8.79386186967267,11,0.239130434782609,0.0185162608098352
145,62,228,48,406,166,255,23,550,360,306,77,328,1278,0.0344050673519977,0.327383410356801,0.121079301149454,0.204268451891898,0.327383410356801,6.60325166388866,172,0.134585289514867,0.0228106808795082
146,14,92,6,318,114,182,9,402,167,177,28,198,483,0.0237631202828868,0.607890920841868,0.133240418660225,0.297392740615091,0.607890920841868,9.16635668039616,298,0.616977225672878,0.0322715196742786
147,29,93,72,226,239,177,55,167,93,79,83,111,550,0.125476309450925,0.293102781739099,0.157059276661727,0.198456386407243,0.293102781739099,8.56781394536316,148,0.269090909090909,0.0714299165912962
149,237,85,69,2121,288,409,342,2925,1104,65,687,1922,5360,0.0472185364177219,0.426227877164691,0.0788022309191649,0.0244823859717339,0.426227877164691,8.62841369605819,2452,0.457462686567164,0.0267944333902754
150,12,61,37,688,8,135,105,779,45,24,71,658,936,0.0695462859494616,0.75481655097288,0.0174001129268904,0.0622322877149645,0.75481655097288,9.23752493876173,633,0.676282051282051,0.0324925462778038
151,61,69,255,967,61,31,58,425,236,794,39,148,1201,0.069310854476304,0.327453295675978,0.0797347340969465,0.0993422719979543,0.327453295675978,7.05213092542231,268,0.223147377185679,0.441443204110846
152,0,15,0,77,0,0,0,37,202,45,0,9,713,0.00140252454417952,0.041357612176037,0.0082292627046881,0.0123030199363795,0.041357612176037,7.13950373850885,124,0.173913043478261,0.0337728191088383
